style,tile_id,name_zh,source_column_zero_based,source_row_zero_based,x,y,width,height,file,note
smooth,1p,1筒,0,0,0,0,250,344,smooth/png/1p.png,
smooth,2p,2筒,1,0,250,0,250,344,smooth/png/2p.png,
smooth,3p,3筒,2,0,500,0,250,344,smooth/png/3p.png,
smooth,4p,4筒,3,0,750,0,250,344,smooth/png/4p.png,
smooth,5p,5筒,4,0,1000,0,250,344,smooth/png/5p.png,
smooth,6p,6筒,5,0,1250,0,250,344,smooth/png/6p.png,
smooth,7p,7筒,6,0,1500,0,250,344,smooth/png/7p.png,
smooth,8p,8筒,7,0,1750,0,250,344,smooth/png/8p.png,
smooth,9p,9筒,8,0,2000,0,250,344,smooth/png/9p.png,
smooth,north,北,9,0,2250,0,250,344,smooth/png/north.png,
smooth,west,西,10,0,2500,0,250,344,smooth/png/west.png,
smooth,south,南,11,0,2750,0,250,344,smooth/png/south.png,
smooth,east,东,12,0,3000,0,250,344,smooth/png/east.png,
smooth,red,中,13,0,3250,0,250,344,smooth/png/red.png,
smooth,green,发,14,0,3500,0,250,344,smooth/png/green.png,
smooth,1m,1万,15,0,3750,0,250,344,smooth/png/1m.png,
smooth,2m,2万,16,0,4000,0,250,344,smooth/png/2m.png,
smooth,3m,3万,17,0,4250,0,250,344,smooth/png/3m.png,
smooth,4m,4万,18,0,4500,0,250,344,smooth/png/4m.png,
smooth,5m,5万,19,0,4750,0,250,344,smooth/png/5m.png,
smooth,6m,6万,20,0,5000,0,250,344,smooth/png/6m.png,
smooth,7m,7万,21,0,5250,0,250,344,smooth/png/7m.png,
smooth,8m,8万,22,0,5500,0,250,344,smooth/png/8m.png,
smooth,9m,9万,23,0,5750,0,250,344,smooth/png/9m.png,
smooth,1s,1条,24,0,6000,0,250,344,smooth/png/1s.png,
smooth,2s,2条,25,0,6250,0,250,344,smooth/png/2s.png,
smooth,3s,3条,26,0,6500,0,250,344,smooth/png/3s.png,
smooth,4s,4条,27,0,6750,0,250,344,smooth/png/4s.png,
smooth,5s,5条,28,0,7000,0,250,344,smooth/png/5s.png,
smooth,6s,6条,29,0,7250,0,250,344,smooth/png/6s.png,
smooth,7s,7条,30,0,7500,0,250,344,smooth/png/7s.png,
smooth,8s,8条,31,0,7750,0,250,344,smooth/png/8s.png,
smooth,9s,9条,32,0,8000,0,250,344,smooth/png/9s.png,
smooth,orchid,兰,33,0,8250,0,250,344,smooth/png/orchid.png,
smooth,chrysanthemum,菊,34,0,8500,0,250,344,smooth/png/chrysanthemum.png,
smooth,plum,梅,35,0,8750,0,250,344,smooth/png/plum.png,
smooth,bamboo,竹,36,0,9000,0,250,344,smooth/png/bamboo.png,
smooth,white,白,37,0,9250,0,250,344,smooth/png/white.png,
smooth,spring,春,38,0,9500,0,250,344,smooth/png/spring.png,
smooth,summer,夏,39,0,9750,0,250,344,smooth/png/summer.png,
smooth,autumn,秋,40,0,10000,0,250,344,smooth/png/autumn.png,
smooth,winter,冬,41,0,10250,0,250,344,smooth/png/winter.png,
postmodern,1p,1筒,0,0,0,0,256,352,postmodern/png/1p.png,
postmodern,2p,2筒,1,0,256,0,256,352,postmodern/png/2p.png,
postmodern,3p,3筒,2,0,512,0,256,352,postmodern/png/3p.png,
postmodern,4p,4筒,3,0,768,0,256,352,postmodern/png/4p.png,
postmodern,5p,5筒,4,0,1024,0,256,352,postmodern/png/5p.png,
postmodern,6p,6筒,5,0,1280,0,256,352,postmodern/png/6p.png,
postmodern,7p,7筒,6,0,1536,0,256,352,postmodern/png/7p.png,
postmodern,8p,8筒,7,0,1792,0,256,352,postmodern/png/8p.png,
postmodern,9p,9筒,8,0,2048,0,256,352,postmodern/png/9p.png,
postmodern,north,北,9,0,2304,0,256,352,postmodern/png/north.png,
postmodern,west,西,10,0,2560,0,256,352,postmodern/png/west.png,
postmodern,south,南,11,0,2816,0,256,352,postmodern/png/south.png,
postmodern,east,东,12,0,3072,0,256,352,postmodern/png/east.png,
postmodern,red,中,13,0,3328,0,256,352,postmodern/png/red.png,
postmodern,green,发,14,0,3584,0,256,352,postmodern/png/green.png,
postmodern,1m,1万,15,0,3840,0,256,352,postmodern/png/1m.png,
postmodern,2m,2万,16,0,4096,0,256,352,postmodern/png/2m.png,
postmodern,3m,3万,17,0,4352,0,256,352,postmodern/png/3m.png,
postmodern,4m,4万,18,0,4608,0,256,352,postmodern/png/4m.png,
postmodern,5m,5万,19,0,4864,0,256,352,postmodern/png/5m.png,
postmodern,6m,6万,20,0,5120,0,256,352,postmodern/png/6m.png,
postmodern,7m,7万,21,0,5376,0,256,352,postmodern/png/7m.png,
postmodern,8m,8万,22,0,5632,0,256,352,postmodern/png/8m.png,
postmodern,9m,9万,23,0,5888,0,256,352,postmodern/png/9m.png,
postmodern,1s,1条,24,0,6144,0,256,352,postmodern/png/1s.png,
postmodern,2s,2条,25,0,6400,0,256,352,postmodern/png/2s.png,
postmodern,3s,3条,26,0,6656,0,256,352,postmodern/png/3s.png,
postmodern,4s,4条,27,0,6912,0,256,352,postmodern/png/4s.png,
postmodern,5s,5条,28,0,7168,0,256,352,postmodern/png/5s.png,
postmodern,6s,6条,29,0,7424,0,256,352,postmodern/png/6s.png,
postmodern,7s,7条,30,0,7680,0,256,352,postmodern/png/7s.png,
postmodern,8s,8条,31,0,7936,0,256,352,postmodern/png/8s.png,
postmodern,9s,9条,32,0,8192,0,256,352,postmodern/png/9s.png,
postmodern,spring,春,33,0,8448,0,256,352,postmodern/png/spring.png,Postmodern花季牌按一至四编号映射槽位，图案不表示单独的植物或季节。
postmodern,summer,夏,34,0,8704,0,256,352,postmodern/png/summer.png,Postmodern花季牌按一至四编号映射槽位，图案不表示单独的植物或季节。
postmodern,autumn,秋,35,0,8960,0,256,352,postmodern/png/autumn.png,Postmodern花季牌按一至四编号映射槽位，图案不表示单独的植物或季节。
postmodern,winter,冬,36,0,9216,0,256,352,postmodern/png/winter.png,Postmodern花季牌按一至四编号映射槽位，图案不表示单独的植物或季节。
postmodern,white,白,37,0,9472,0,256,352,postmodern/png/white.png,
postmodern,plum,梅,38,0,9728,0,256,352,postmodern/png/plum.png,Postmodern花季牌按一至四编号映射槽位，图案不表示单独的植物或季节。
postmodern,orchid,兰,39,0,9984,0,256,352,postmodern/png/orchid.png,Postmodern花季牌按一至四编号映射槽位，图案不表示单独的植物或季节。
postmodern,chrysanthemum,菊,40,0,10240,0,256,352,postmodern/png/chrysanthemum.png,Postmodern花季牌按一至四编号映射槽位，图案不表示单独的植物或季节。
postmodern,bamboo,竹,41,0,10496,0,256,352,postmodern/png/bamboo.png,Postmodern花季牌按一至四编号映射槽位，图案不表示单独的植物或季节。
