tile_id,name_zh,hongkong_png,xhokir_regular_png,gnome_smooth_png,gnome_postmodern_png,note
1m,1万,01_HongKong_CC0/hongkong/png/08-characters-1.png,02_Xhokir_CC_BY4/Export/Regular/Man1.png,03_GNOME/smooth/png/1m.png,03_GNOME/postmodern/png/1m.png,
2m,2万,01_HongKong_CC0/hongkong/png/09-characters-2.png,02_Xhokir_CC_BY4/Export/Regular/Man2.png,03_GNOME/smooth/png/2m.png,03_GNOME/postmodern/png/2m.png,
3m,3万,01_HongKong_CC0/hongkong/png/10-characters-3.png,02_Xhokir_CC_BY4/Export/Regular/Man3.png,03_GNOME/smooth/png/3m.png,03_GNOME/postmodern/png/3m.png,
4m,4万,01_HongKong_CC0/hongkong/png/11-characters-4.png,02_Xhokir_CC_BY4/Export/Regular/Man4.png,03_GNOME/smooth/png/4m.png,03_GNOME/postmodern/png/4m.png,
5m,5万,01_HongKong_CC0/hongkong/png/12-characters-5.png,02_Xhokir_CC_BY4/Export/Regular/Man5.png,03_GNOME/smooth/png/5m.png,03_GNOME/postmodern/png/5m.png,
6m,6万,01_HongKong_CC0/hongkong/png/13-characters-6.png,02_Xhokir_CC_BY4/Export/Regular/Man6.png,03_GNOME/smooth/png/6m.png,03_GNOME/postmodern/png/6m.png,
7m,7万,01_HongKong_CC0/hongkong/png/14-characters-7.png,02_Xhokir_CC_BY4/Export/Regular/Man7.png,03_GNOME/smooth/png/7m.png,03_GNOME/postmodern/png/7m.png,
8m,8万,01_HongKong_CC0/hongkong/png/15-characters-8.png,02_Xhokir_CC_BY4/Export/Regular/Man8.png,03_GNOME/smooth/png/8m.png,03_GNOME/postmodern/png/8m.png,
9m,9万,01_HongKong_CC0/hongkong/png/16-characters-9.png,02_Xhokir_CC_BY4/Export/Regular/Man9.png,03_GNOME/smooth/png/9m.png,03_GNOME/postmodern/png/9m.png,
1p,1筒,01_HongKong_CC0/hongkong/png/17-circles-1.png,02_Xhokir_CC_BY4/Export/Regular/Pin1.png,03_GNOME/smooth/png/1p.png,03_GNOME/postmodern/png/1p.png,
2p,2筒,01_HongKong_CC0/hongkong/png/18-circles-2.png,02_Xhokir_CC_BY4/Export/Regular/Pin2.png,03_GNOME/smooth/png/2p.png,03_GNOME/postmodern/png/2p.png,
3p,3筒,01_HongKong_CC0/hongkong/png/19-circles-3.png,02_Xhokir_CC_BY4/Export/Regular/Pin3.png,03_GNOME/smooth/png/3p.png,03_GNOME/postmodern/png/3p.png,
4p,4筒,01_HongKong_CC0/hongkong/png/20-circles-4.png,02_Xhokir_CC_BY4/Export/Regular/Pin4.png,03_GNOME/smooth/png/4p.png,03_GNOME/postmodern/png/4p.png,
5p,5筒,01_HongKong_CC0/hongkong/png/21-circles-5.png,02_Xhokir_CC_BY4/Export/Regular/Pin5.png,03_GNOME/smooth/png/5p.png,03_GNOME/postmodern/png/5p.png,
6p,6筒,01_HongKong_CC0/hongkong/png/22-circles-6.png,02_Xhokir_CC_BY4/Export/Regular/Pin6.png,03_GNOME/smooth/png/6p.png,03_GNOME/postmodern/png/6p.png,
7p,7筒,01_HongKong_CC0/hongkong/png/23-circles-7.png,02_Xhokir_CC_BY4/Export/Regular/Pin7.png,03_GNOME/smooth/png/7p.png,03_GNOME/postmodern/png/7p.png,
8p,8筒,01_HongKong_CC0/hongkong/png/24-circles-8.png,02_Xhokir_CC_BY4/Export/Regular/Pin8.png,03_GNOME/smooth/png/8p.png,03_GNOME/postmodern/png/8p.png,
9p,9筒,01_HongKong_CC0/hongkong/png/25-circles-9.png,02_Xhokir_CC_BY4/Export/Regular/Pin9.png,03_GNOME/smooth/png/9p.png,03_GNOME/postmodern/png/9p.png,
1s,1条,01_HongKong_CC0/hongkong/png/26-bamboos-1.png,02_Xhokir_CC_BY4/Export/Regular/Sou1.png,03_GNOME/smooth/png/1s.png,03_GNOME/postmodern/png/1s.png,
2s,2条,01_HongKong_CC0/hongkong/png/27-bamboos-2.png,02_Xhokir_CC_BY4/Export/Regular/Sou2.png,03_GNOME/smooth/png/2s.png,03_GNOME/postmodern/png/2s.png,
3s,3条,01_HongKong_CC0/hongkong/png/28-bamboos-3.png,02_Xhokir_CC_BY4/Export/Regular/Sou3.png,03_GNOME/smooth/png/3s.png,03_GNOME/postmodern/png/3s.png,
4s,4条,01_HongKong_CC0/hongkong/png/29-bamboos-4.png,02_Xhokir_CC_BY4/Export/Regular/Sou4.png,03_GNOME/smooth/png/4s.png,03_GNOME/postmodern/png/4s.png,
5s,5条,01_HongKong_CC0/hongkong/png/30-bamboos-5.png,02_Xhokir_CC_BY4/Export/Regular/Sou5.png,03_GNOME/smooth/png/5s.png,03_GNOME/postmodern/png/5s.png,
6s,6条,01_HongKong_CC0/hongkong/png/31-bamboos-6.png,02_Xhokir_CC_BY4/Export/Regular/Sou6.png,03_GNOME/smooth/png/6s.png,03_GNOME/postmodern/png/6s.png,
7s,7条,01_HongKong_CC0/hongkong/png/32-bamboos-7.png,02_Xhokir_CC_BY4/Export/Regular/Sou7.png,03_GNOME/smooth/png/7s.png,03_GNOME/postmodern/png/7s.png,
8s,8条,01_HongKong_CC0/hongkong/png/33-bamboos-8.png,02_Xhokir_CC_BY4/Export/Regular/Sou8.png,03_GNOME/smooth/png/8s.png,03_GNOME/postmodern/png/8s.png,
9s,9条,01_HongKong_CC0/hongkong/png/34-bamboos-9.png,02_Xhokir_CC_BY4/Export/Regular/Sou9.png,03_GNOME/smooth/png/9s.png,03_GNOME/postmodern/png/9s.png,
east,东,01_HongKong_CC0/hongkong/png/04-east-wind.png,02_Xhokir_CC_BY4/Export/Regular/Ton.png,03_GNOME/smooth/png/east.png,03_GNOME/postmodern/png/east.png,
south,南,01_HongKong_CC0/hongkong/png/05-south-wind.png,02_Xhokir_CC_BY4/Export/Regular/Nan.png,03_GNOME/smooth/png/south.png,03_GNOME/postmodern/png/south.png,
west,西,01_HongKong_CC0/hongkong/png/06-west-wind.png,02_Xhokir_CC_BY4/Export/Regular/Shaa.png,03_GNOME/smooth/png/west.png,03_GNOME/postmodern/png/west.png,
north,北,01_HongKong_CC0/hongkong/png/07-north-wind.png,02_Xhokir_CC_BY4/Export/Regular/Pei.png,03_GNOME/smooth/png/north.png,03_GNOME/postmodern/png/north.png,
red,中,01_HongKong_CC0/hongkong/png/03-red-dragon.png,02_Xhokir_CC_BY4/Export/Regular/Chun.png,03_GNOME/smooth/png/red.png,03_GNOME/postmodern/png/red.png,
green,发,01_HongKong_CC0/hongkong/png/02-green-dragon.png,02_Xhokir_CC_BY4/Export/Regular/Hatsu.png,03_GNOME/smooth/png/green.png,03_GNOME/postmodern/png/green.png,
white,白,01_HongKong_CC0/hongkong/png/01-white-dragon.png,02_Xhokir_CC_BY4/Export/Regular/Haku.png,03_GNOME/smooth/png/white.png,03_GNOME/postmodern/png/white.png,
spring,春,01_HongKong_CC0/hongkong/png/35-spring.png,02_Xhokir_CC_BY4/Export/Regular/Season1.png,03_GNOME/smooth/png/spring.png,03_GNOME/postmodern/png/spring.png,Xhokir及Postmodern花季牌按编号槽位对应，名称不代表图案已核实为该植物/季节。
summer,夏,01_HongKong_CC0/hongkong/png/36-summer.png,02_Xhokir_CC_BY4/Export/Regular/Season2.png,03_GNOME/smooth/png/summer.png,03_GNOME/postmodern/png/summer.png,Xhokir及Postmodern花季牌按编号槽位对应，名称不代表图案已核实为该植物/季节。
autumn,秋,01_HongKong_CC0/hongkong/png/37-autumn.png,02_Xhokir_CC_BY4/Export/Regular/Season3.png,03_GNOME/smooth/png/autumn.png,03_GNOME/postmodern/png/autumn.png,Xhokir及Postmodern花季牌按编号槽位对应，名称不代表图案已核实为该植物/季节。
winter,冬,01_HongKong_CC0/hongkong/png/38-winter.png,02_Xhokir_CC_BY4/Export/Regular/Season4.png,03_GNOME/smooth/png/winter.png,03_GNOME/postmodern/png/winter.png,Xhokir及Postmodern花季牌按编号槽位对应，名称不代表图案已核实为该植物/季节。
plum,梅,01_HongKong_CC0/hongkong/png/39-plum.png,02_Xhokir_CC_BY4/Export/Regular/Flower1.png,03_GNOME/smooth/png/plum.png,03_GNOME/postmodern/png/plum.png,Xhokir及Postmodern花季牌按编号槽位对应，名称不代表图案已核实为该植物/季节。
orchid,兰,01_HongKong_CC0/hongkong/png/40-orchid.png,02_Xhokir_CC_BY4/Export/Regular/Flower2.png,03_GNOME/smooth/png/orchid.png,03_GNOME/postmodern/png/orchid.png,Xhokir及Postmodern花季牌按编号槽位对应，名称不代表图案已核实为该植物/季节。
chrysanthemum,菊,01_HongKong_CC0/hongkong/png/41-chrysanthemum.png,02_Xhokir_CC_BY4/Export/Regular/Flower3.png,03_GNOME/smooth/png/chrysanthemum.png,03_GNOME/postmodern/png/chrysanthemum.png,Xhokir及Postmodern花季牌按编号槽位对应，名称不代表图案已核实为该植物/季节。
bamboo,竹,01_HongKong_CC0/hongkong/png/42-bamboo.png,02_Xhokir_CC_BY4/Export/Regular/Flower4.png,03_GNOME/smooth/png/bamboo.png,03_GNOME/postmodern/png/bamboo.png,Xhokir及Postmodern花季牌按编号槽位对应，名称不代表图案已核实为该植物/季节。
